Generation,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
0,286,174,95,63,75,59,44,49,43,28,24,20,18,16,1,3,2,0,0
1,292,155,99,75,46,68,61,40,46,34,24,22,17,12,7,1,1,0,0
2,276,181,85,70,70,46,64,51,37,30,34,23,11,13,6,2,1,0,0
3,285,177,85,67,60,61,49,56,45,27,30,25,12,7,8,5,0,1,0
4,288,193,84,57,62,54,54,44,53,27,24,25,14,9,8,4,0,0,0
5,309,169,107,48,53,58,50,43,45,34,26,18,18,10,7,2,3,0,0
6,307,181,94,71,43,41,62,40,36,38,34,17,15,12,3,5,1,0,0
7,317,179,91,60,71,35,37,56,29,44,25,23,14,10,5,1,3,0,0
8,315,195,94,60,47,65,28,40,40,34,32,17,11,10,9,1,2,0,0
9,309,193,103,63,54,35,63,25,35,36,25,28,10,10,9,1,1,0,0
10,295,183,105,76,53,52,35,58,21,33,32,25,13,11,8,0,0,0,0
11,303,181,97,79,57,53,45,32,45,26,26,22,16,9,7,2,0,0,0
12,295,182,94,68,76,54,50,37,36,29,25,14,22,9,6,3,0,0,0
13,307,158,98,73,59,67,48,47,33,29,19,27,13,14,6,2,0,0,0
14,302,174,85,75,59,56,71,45,36,25,21,15,20,9,4,2,1,0,0
15,310,169,99,62,63,56,54,65,30,31,19,10,15,9,4,3,1,0,0
16,291,175,90,71,61,57,55,47,53,28,29,11,9,15,6,1,1,0,0
17,292,185,71,69,65,61,56,44,42,42,25,21,8,8,9,1,1,0,0
18,301,177,93,57,64,57,59,43,37,35,30,23,9,7,5,3,0,0,0
19,317,163,104,65,32,68,46,50,48,29,29,21,14,5,3,4,2,0,0
20,306,192,87,67,46,33,68,40,46,34,29,24,14,8,3,1,2,0,0
21,317,197,87,56,63,44,34,58,35,32,23,24,14,10,4,0,2,0,0
22,329,179,107,56,46,60,42,36,46,24,28,17,15,6,8,1,0,0,0
23,300,209,104,69,47,41,54,41,33,35,19,21,17,6,3,1,0,0,0
24,296,196,95,86,62,43,42,43,38,25,27,16,16,7,7,0,1,0,0
25,295,183,110,67,76,64,35,39,30,26,24,18,16,10,3,4,0,0,0
26,301,199,94,72,52,66,53,39,33,19,24,20,12,10,2,4,0,0,0
27,316,175,104,79,57,43,64,43,36,19,16,15,11,11,8,3,0,0,0
28,324,191,84,63,72,47,43,49,36,30,17,14,9,7,11,2,1,0,0
29,299,197,101,57,65,68,41,42,40,31,20,10,10,6,6,6,0,1,0
30,307,173,106,67,50,64,64,34,36,30,31,13,8,7,5,3,1,1,0
31,283,180,107,68,67,46,57,60,24,33,28,24,9,6,4,4,0,0,0
32,315,164,99,67,62,56,49,41,49,26,22,23,15,6,2,4,0,0,0
33,298,188,90,72,58,57,49,44,37,41,17,19,19,6,1,3,1,0,0
34,291,178,91,73,64,57,58,37,47,32,27,9,21,8,3,3,0,1,0
35,280,179,98,74,62,64,53,42,32,35,29,22,10,16,2,1,1,0,0
36,292,179,81,76,69,55,57,44,35,25,29,22,19,8,7,1,0,1,0
37,295,181,101,45,68,65,55,47,36,32,19,23,12,12,4,5,0,0,0
38,334,170,91,55,40,64,60,50,32,35,19,13,18,8,7,3,1,0,0
39,330,180,88,56,51,46,53,49,38,33,26,15,12,11,8,3,0,1,0
40,313,187,103,57,47,57,35,51,36,31,29,22,12,9,8,3,0,0,0
41,306,186,100,76,57,42,46,38,40,26,28,23,13,8,5,5,1,0,0
42,306,169,107,74,71,50,42,35,40,28,25,22,15,9,4,3,0,0,0
43,287,184,94,80,68,58,47,38,37,33,23,16,15,10,8,0,2,0,0
44,309,182,89,69,55,70,53,39,28,36,23,18,8,10,5,4,2,0,0
45,305,193,90,52,65,53,66,42,42,21,28,13,15,6,5,3,1,0,0
46,319,172,98,56,45,57,43,61,41,33,26,12,15,11,4,4,3,0,0
47,324,191,89,49,51,45,49,44,50,35,20,20,11,11,6,2,3,0,0
48,329,190,98,55,46,46,39,47,41,41,24,9,16,7,5,5,2,0,0
49,318,187,91,78,42,44,46,34,45,33,36,19,11,8,3,4,1,0,0
50,300,201,85,65,66,42,40,47,26,36,32,31,11,8,5,2,3,0,0
51,312,188,96,63,53,66,30,39,39,18,30,27,21,11,5,1,1,0,0
52,288,183,122,54,49,57,59,32,37,30,18,22,22,17,7,2,1,0,0
